SPECTRUM - MS,
QC_2.RAW,
FTMS + p ESI Full ms [50.00-1000.00],
Scan #: 1-40,
RT: 0.01-1.97,
AV: 40,
m/z,Intensity

58.3312,401.8
58.358,16.5
58.3658,110.7
58.3753,389.9
58.3765,358.5
58.3846,84.8
58.3879,143.1
58.3897,692.7
58.3923,100.1
58.3936,510.2
58.4078,93
58.4091,16.4
58.4149,942
58.4198,411.1
58.4412,160.1
58.4464,450.6
58.4507,230.6
58.4545,162.4
58.4627,117.9
58.4654,682.8
58.4663,16.9
58.4853,610.2
58.5445,85
58.5451,135.9
58.5481,159.1
58.554,240.7
58.5713,124.7
58.5721,125.5
58.5797,77
58.5807,701.9
58.5867,111.7
58.5903,195.9
58.61,522.3
58.6157,178.5
58.6242,416.2
58.6329,342.5
58.6347,502.8
58.6438,254.6
58.6447,97.3
58.6496,78.6
58.6518,373.9
58.6743,133.4
58.6797,64.2
58.6844,178.9
58.697,809.9
58.7069,32.4
58.7129,731.6
58.7185,1091
58.7193,205.7
58.7236,229.1
58.7245,281.2
58.7358,28.8
58.7502,376.7
58.7546,102.2
58.7907,16.1
58.7918,115.1
58.8174,16.5
58.8225,81.9
58.8365,112.1
58.8391,774.7
58.8406,87
58.8443,98.5
58.8449,68.9
58.8476,134.8
58.8504,18
58.8574,666.4
58.8778,488.3
58.8801,225.7
58.902,209
58.9192,267.6
58.9213,16.6
58.9314,177.9
58.9709,72.4
58.9877,136
58.9903,235.7
58.9948,475.4
59.0276,180.1
59.0354,152.5
59.0359,314.5
59.0365,99.7
59.0496,455.1
59.0504,187.7
59.0551,158.3
59.0562,586.5
59.0978,361.7
59.1076,377.8
59.1208,193.5
59.125,604.6
59.1272,96.7
59.134,360.1
59.1479,192.8
59.1594,685.4
59.161,105
59.1983,18.4
59.211,114.2
59.2145,16.6
59.2298,291.5
59.2491,88.8
59.2626,85.4
59.2643,18.7
59.2654,175.6
59.281,30.1
59.315,397.1
59.3364,87.4
59.3488,143.2
59.3508,91.8
59.353,451.4
59.3572,86.6
59.3673,71.7
59.4331,17.9
59.4964,73.4
59.5048,822.5
59.5216,286.9
59.5484,420.8
59.5549,105.1
59.5634,375.5
59.5774,84.5
59.5841,388.5
59.5867,521.4
59.6255,98.5
59.628,203.3
59.6288,155.2
59.6337,699.7
59.6348,171.3
59.646,27.5
59.6575,203
59.6595,831
59.6874,268
59.7299,192.8
59.7498,19.1
59.7513,120.1
59.7744,552.2
59.7789,103
59.788,107.9
59.7996,200.3
59.8045,274
59.8095,272.8
59.823,596.7
59.8263,123.1
59.8292,115.3
59.8369,97.9
59.8739,498.1
59.908,211.9
59.9293,118.7
59.9447,16.6
59.9481,572.6
59.9681,541.2
59.9774,318.8
59.9792,171.6
59.9809,119.5
59.9836,123.8
59.9958,17.2
60.0002,195
60.0061,87.7
60.0114,112.1
60.0219,605.2
60.0295,734.2
60.0384,745.2
60.0503,111.5
60.061,29.3
60.0688,108.4
60.0843,97.1
60.0947,438.3
60.0986,846.6
60.1021,338.2
60.1052,85.2
60.1285,373.5
60.1379,247.8
60.1407,161
60.1468,588.6
60.1702,224
60.1777,197.5
60.1801,246.7
60.1815,715.5
60.194,128.6
60.1963,194.2
60.2104,289.5
60.2461,17.1
60.2465,233.8
60.261,82.5
60.3169,391
60.3178,331.3
60.3394,446.2
60.3458,375.2
60.3504,148.7
60.3509,164
60.3587,489.5
60.3729,912.5
60.3872,95.2
60.3939,127.4
60.4028,275
60.4173,87.2
60.427,570.4
60.4325,91.4
60.4335,124.1
60.4483,171.1
60.4491,500.3
60.4509,175.4
60.4539,117.8
60.4573,86.2
60.4608,85
60.4613,84.9
60.4661,307.1
60.4674,846.9
60.4782,15.6
60.4793,149.9
60.487,274.4
60.488,190
60.4894,228.9
60.4971,247.1
60.5125,15.8
60.5556,144.6
60.5662,744.7
60.569,585.7
60.5712,465
60.5717,21.6
60.5775,176.7
60.583,346.8
60.585,514.9
60.5893,510.5
60.5972,191.3
60.6066,282.8
60.6131,83.1
60.6133,84.7
60.6158,259.1
60.6493,74.9
60.6505,131.5
60.6567,172.4
60.6582,337
60.6593,93.9
60.665,276.5
60.6667,440.9
60.6791,16.1
60.6822,203.5
60.6992,135.2
60.7224,377
60.7331,103.1
60.7402,120.9
60.746,98.2
60.7509,16.8
60.7537,258.5
60.7549,107.7
60.783,197.7
60.7841,268.6
60.7848,178.7
60.7884,493
60.7928,83.8
60.8123,213
60.8152,243.6
60.8276,78.3
60.8352,245.4
60.8386,627.1
60.8469,267.2
60.8762,334.4
60.8815,279.5
60.8867,628.6
60.9237,109.7
60.9285,87.9
60.9792,68
60.9798,675.1
60.9821,102.4
60.9832,584.8
61.0149,639.7
61.0192,458.3
61.046,322.5
61.0524,130.8
61.0832,16.1
61.0913,113.7
61.0932,182.9
61.1025,90
61.1083,458.4
61.1117,294.4
61.1174,18.6
61.1221,182
61.1356,85.1
61.1395,331.3
61.1458,182.5
61.1681,312.4
61.1877,18.3
61.1948,17.7
61.1968,314.8
61.2238,531
61.2318,160.8
61.2334,21.6
61.2378,109.1
61.2777,440.1
61.292,249.9
61.2959,87.2
61.2995,529.7
61.3143,625.9
61.326,199.7
61.3314,202.9
61.3597,590.9
61.4057,16.2
61.4116,667.8
61.4177,261.5
61.4254,549.3
61.4319,450.4
61.4394,946.4
61.4602,805.8
61.4776,492.4
61.4851,17.5
61.4928,563.8
61.5063,535.5
61.5086,301.4
61.521,77.6
61.5225,85.3
61.5379,18
61.5429,103.5
61.5433,232.1
61.5484,16.5
61.5496,281.3
61.5605,384.5
61.6081,21
61.6103,233.5
61.6204,152.8
61.6367,78.1
61.6421,20.1
61.6477,288.4
61.6974,209.9
61.7027,512.6
61.7357,129.9
61.7374,83.8
61.7797,178.6
61.7814,79
61.8127,211.1
61.8358,17.9
61.8439,518.6
61.8504,528.1
61.8632,16.6
61.8776,97.8
61.8884,138.1
61.8913,172
61.9312,18.7
61.9431,307.3
61.9524,732.2
61.9609,209.7
61.9748,91.3
61.9756,254.1
61.9798,18.1
62.0013,18
62.0149,144.8
62.0395,480.6
62.063,16.7
62.0947,378.9
62.1133,135.5
62.1175,317.4
62.1202,90.6
62.1327,101.8
62.1763,113.7
62.1813,278.6
62.2097,109.7
62.2195,720
62.2384,153.4
62.2471,942.1
62.25,76.3
62.2824,18.3
62.2952,194.3
62.2981,107.8
62.3271,146.1
62.3365,237.1
62.3471,100.2
62.3574,105.3
62.3616,427.7
62.3646,684.7
62.3842,1030
62.3848,18
62.4093,138
62.4117,527.8
62.4278,105.1
62.4287,107
62.4308,427
62.4453,342
62.4495,75.2
62.4533,154.9
62.4555,295.7
62.4654,177.8
62.4763,147.3
62.4871,513.4
62.4934,574.3
