SPECTRUM - MS,
703.RAW,
FTMS + p ESI Full ms [50.00-1000.00],
Scan #: 1-39,
RT: 0.01-1.98,
AV: 39,
m/z,Intensity

55.4122,60.5
55.4204,23.4
55.4279,29.1
55.4301,29.3
55.4339,50.4
55.4424,201.1
55.4461,37.8
55.4512,43.2
55.4521,67.2
55.4839,175.1
55.4962,100.4
55.5119,34.6
55.5135,114.1
55.5239,57.9
55.5242,53.5
55.5589,18
55.5769,367.4
55.5792,30.1
55.598,427.6
55.6011,85.6
55.61,60
55.6158,164
55.6252,26.3
55.628,25.5
55.6611,24.3
55.6615,51.6
55.685,590.9
55.6856,32.3
55.6997,40
55.7243,71.8
55.7342,95.4
55.7358,23
55.7557,160.8
55.7606,156.9
55.7797,27
55.7858,123.8
55.7865,24.3
55.7922,32.4
55.8082,44
55.8121,102.9
55.818,68.3
55.8263,68.8
55.8407,48.9
55.8553,42.6
55.8651,62.5
55.8658,98.7
55.8805,15.3
55.9199,72.1
55.9227,53.1
55.9234,369.5
55.9572,24.6
55.9662,272.7
55.9727,72.1
55.98,50.4
55.9865,366.3
55.9889,461.1
55.9942,36.8
56.008,35
56.012,461.6
56.0183,167.4
56.0287,40.2
56.0321,32.2
56.0413,476
56.0457,31
56.0492,33.6
56.0536,32.9
56.0563,24.8
56.0611,406.3
56.0854,60.1
56.0881,36.7
56.0895,87
56.1023,233.2
56.117,115.7
56.1321,31.5
56.1398,455.3
56.1436,32.9
56.1735,73.9
56.1816,22.8
56.1832,480.9
56.188,190.3
56.1905,17
56.1949,127.5
56.1999,33.9
56.2018,69.7
56.2024,91.9
56.2093,417.5
56.2248,31.6
56.2367,40.5
56.2389,33.5
56.2835,182
56.3165,31.8
56.3169,23.4
56.3283,627.4
56.3341,38.8
56.3498,33.8
56.3724,457.9
56.3842,26.5
56.3934,40.4
56.3955,29
56.4005,48.3
56.4058,35.3
56.407,25.2
56.4089,366.5
56.4146,340.6
56.4183,410.9
56.4547,23.9
56.4817,65.9
56.4825,31.5
56.4854,113.7
56.4959,27.3
56.4975,124.4
56.5003,115.8
56.5299,33.5
56.5719,27.7
56.5769,45.7
56.5991,41.3
56.6124,412.7
56.6416,440.9
56.6426,35.9
56.6469,29.1
56.651,32.6
56.6794,25.5
56.6885,42.3
56.721,206
56.7308,68.9
56.7514,39.6
56.7689,213.2
56.7714,135.3
56.7723,113.7
56.7984,32.2
56.8041,108.7
56.8066,25.3
56.8213,27.2
56.8304,17
56.8443,610
56.8864,28.2
56.8904,23.5
56.8971,24.3
56.9049,33.3
56.916,28.9
56.9251,120.1
56.9596,48.3
56.9717,34.1
56.9772,80
57.0043,29.1
57.0216,48
57.0323,351.6
57.0504,46.7
57.0534,29.2
57.079,29.1
57.0814,324.7
57.1126,62.1
57.1133,26.8
57.1343,31.3
57.1387,27.4
57.1683,25.5
57.1797,16.1
57.2013,61.2
57.2042,26.7
57.2227,34.8
57.2363,26
57.2375,24.6
57.2471,46.9
57.2609,109.5
57.2713,112.7
57.2776,421.9
57.2798,26.1
57.2852,28.6
57.2904,33.8
57.314,119.8
57.3167,32.6
57.322,57.9
57.3405,25.1
57.346,25.1
57.3623,26
57.3659,28.6
57.3668,25.5
57.3841,50.7
57.4311,24
57.4356,22.3
57.4396,36.5
57.4672,22.2
57.4736,182.1
57.4813,28.1
57.4863,18.7
57.4945,30.2
57.526,151.3
57.527,462.6
57.5397,34.1
57.5558,153.7
57.5607,22.9
57.5627,119.7
57.5665,601
57.5832,143.4
57.5837,201.6
57.5906,30.1
57.597,29.5
57.5979,70.1
57.6175,20.7
57.6364,205.2
57.6488,187
57.6533,537.9
57.6542,122.5
57.6645,393.7
57.6649,30.2
57.675,113.1
57.678,158.5
57.7145,192.1
57.7203,21.9
57.7418,53.3
57.7474,65.8
57.7526,26
57.7554,17.8
57.7639,58.9
57.832,667.3
57.8354,24.5
57.8393,57.4
57.8405,24.7
57.846,27.4
57.8495,120.2
57.852,55.8
57.8547,31.8
57.857,27.4
57.8871,665.5
57.8964,62.6
57.8981,34.6
57.9073,40.7
57.923,60.6
57.9248,42.8
57.9261,70.1
57.9412,23.5
57.943,28.9
57.9625,65.4
57.9689,29
57.9734,26.1
58.0088,27.4
58.0135,126.2
58.0196,47.3
58.0227,103.2
58.0332,30.5
58.0373,28.5
58.0494,122
58.0867,205.8
58.1152,387.7
58.1208,187.7
58.1238,87.9
58.129,84.2
58.1524,44.6
58.191,26.3
58.205,54.7
58.2079,332.2
58.2122,28.5
58.2205,656.5
58.2251,350.4
58.235,31.8
58.241,139.9
58.2468,23.3
58.2505,33.2
58.2689,28.8
58.2756,48.9
58.3019,44.7
58.304,183.4
58.3132,31.6
58.3171,34.7
58.3211,34.5
58.3332,135.5
58.3357,27.4
58.3409,67.3
58.3466,68.8
58.3568,69.6
58.3633,28.5
58.4015,25
58.4054,27.6
58.4074,23
58.4205,44.1
58.422,37.3
58.4237,119.4
58.4481,417.9
58.4501,70.1
58.4701,50.3
58.494,288.1
58.5028,56.4
58.5068,21.8
58.5089,27.8
58.5159,253.2
58.5182,69.7
58.5184,27.7
58.5257,67.3
58.5279,42.4
58.5301,63.2
58.5474,26.1
58.5571,18.1
58.5723,27.9
58.5733,54.1
58.5949,342.8
58.5965,41.2
58.6181,473.1
58.6217,33.4
58.6257,376.7
58.6566,35.2
58.666,73
58.6717,25
58.6766,20.5
58.6933,39.8
58.6975,30.7
58.7087,86.3
58.7245,195.4
58.7263,30.9
58.7595,20.7
58.7662,92.8
58.7739,593
58.7928,27.4
58.8163,30.6
58.8284,269.4
58.8432,376.2
58.851,24.1
58.86,44.5
58.9081,26.2
58.9197,32.4
58.9382,158.4
58.9955,368.8
59.0241,38
59.0262,15.6
59.0266,55.5
59.0403,16.1
59.0432,32.7
59.0554,27.2
59.0691,34.5
59.0862,37.4
59.1036,34.9
59.1152,276.6
59.121,32
59.1394,49.4
59.1408,67.6
59.1574,27
59.1752,183.8
59.2197,240.1
59.2319,71.2
59.2727,44.5
59.2766,33.5
59.2881,16.3
59.2885,133.8
59.2894,33.1
59.3081,35.7
59.3412,26
59.3418,28.6
59.3664,27.2
59.3688,29.3
59.3729,27.9
59.4008,136.6
59.4387,114.6
59.4487,32.7
59.4545,52.2
59.4646,26.2
59.505,317.9
59.5122,340.7
59.5143,26.7
59.5342,55.3
59.5361,39.8
59.5398,38.8
59.5487,29.5
59.5743,21.4
59.5985,15.2
59.5996,47.2
59.6055,65.5
59.6296,24.2
59.6627,25.6
59.6658,32.1
59.6749,27.1
59.6857,34.2
59.688,34.6
59.7091,413.9
59.7777,39.6
59.8161,27.6
59.8249,26.5
59.8283,26.3
59.8496,34.9
59.8506,31.2
59.8575,534.3
59.875,335.8
59.8795,137.4
59.8905,25.9
59.907,380.2
59.9108,95.7
59.9181,45.5
59.9238,79.2
59.9306,579.8
59.9329,105.4
59.9337,112.4
59.9349,26.2
59.9507,24.8
59.9522,33.3
59.9603,489.7
59.9609,20.2
59.9824,39.7
59.9926,47.9
60.0255,57.5
60.0293,68.2
60.0441,271.3
60.0475,169.5
60.0832,55.9
60.0903,613.7
60.0983,31.8
60.1128,66.8
60.12,16.5
60.1215,37.5
60.1327,44.9
60.1467,16.9
60.1496,215.3
60.1991,35.8
60.2012,40.5
60.2119,33.6
60.234,74.9
60.249,20.4
60.2795,381.1
60.2818,63.4
60.287,30.5
60.288,23.8
60.3048,26.9
60.3059,211.9
60.3104,221.7
60.3159,30.8
60.3173,30.9
60.323,46.6
60.3402,137.9
60.3409,544.3
60.3486,26.8
60.3587,27.9
60.3677,16
60.3731,28.8
60.3793,29.3
60.3858,240
60.3976,449.1
60.4091,121.2
60.4112,650.7
60.4396,29
60.4505,40.8
60.4571,64
60.4747,32.9
60.4846,32.3
60.5007,21.8
60.5253,317.3
60.5267,58.4
60.5286,24.1
60.5494,28.2
60.5551,42.6
60.5653,64.1
60.5794,39.8
60.5953,62.7
60.5992,184.9
60.6006,106.1
60.6074,44
60.609,38.6
60.6197,137
60.6228,30.9
60.6298,356.9
60.6323,63.2
60.6424,42.4
60.6509,60.8
60.6513,94.5
60.6693,28.1
60.6764,30.8
60.6912,41.6
60.6991,74.8
60.7122,26.8
60.7125,27.7
60.7127,28.6
60.7265,25.3
60.7523,38
60.761,46
60.7826,70.4
60.785,145
60.855,74.1
60.8576,24.2
60.8863,46.7
60.9054,64.8
60.9123,35.4
60.9378,35.4
60.9455,115.3
60.9491,31.4
60.9511,57.2
60.9803,86.4
60.9986,25.1
61.0074,131.3
61.0243,36
61.0297,37.6
61.0432,28.3
61.0702,39.6
61.1054,40.9
61.1068,205
61.1347,26.1
61.141,385.7
61.1648,46
61.1775,32.1
61.1827,30.8
61.1887,32.8
61.2189,26.2
61.2283,35.6
61.232,29.8
61.2585,26.8
61.2606,42.6
61.2622,28.8
61.2754,26.1
61.2916,22.3
61.2918,21.7
61.3035,438.5
61.304,119.3
61.306,40.2
61.3105,33.2
61.3213,69.5
61.3258,355
61.3356,74.8
61.3416,38
61.3495,28.8
61.3725,363.9
61.393,28.8
61.4037,185.8
61.4051,144
61.4082,104.8
61.4096,31.5
61.4181,186.3
61.4273,59.3
61.4674,35
61.4931,29.4
61.4938,30.9
61.5221,464.6
61.5391,25.2
61.5396,55.2
61.5577,61.9
61.5879,28.5
61.592,115.8
61.5929,26.5
61.6081,411.5
61.6288,39.8
61.6296,32.1
61.636,260.3
61.6518,23.3
61.6654,98.6
61.7159,67.7
61.7168,396.7
61.7319,25.4
61.7464,27.2
61.7708,30.4
61.7813,104.9
61.7852,344.4
61.7976,32.8
61.8043,252.7
61.8163,78.8
61.8262,45.2
61.8327,26.3
61.834,490.2
61.8464,72.3
61.847,181.1
61.8484,483
61.8741,33
61.8763,120.4
61.8783,36.3
61.891,77.7
61.892,315.1
61.907,26.6
61.9387,35.9
61.9399,374.5
61.9421,34.3
61.9633,590.6
61.99,25
61.9915,23.8
61.9946,31.5
62.0018,38.9
62.0067,436.8
62.0245,205.4
62.0276,387.7
62.0281,475.4
62.0569,27.9
62.0582,64.6
62.0901,29
62.1044,32.2
62.1167,27.8
62.1431,21.9
62.1465,31.9
62.154,371.6
62.1624,42.8
62.2228,213.5
62.2376,491.7
62.2625,26.9
62.2681,31.2
62.2692,61.4
62.2793,34.5
62.3125,278.3
62.3351,40
62.338,24.6
62.3485,37.9
62.3544,59.8
62.3812,76.6
62.3908,59.7
62.3973,732.5
62.3985,166.6
62.4097,29.7
62.4136,53.2
62.4246,52.6
62.4317,23.2
62.4482,149.6
62.4663,22.1
62.4671,26.6
62.4968,30.2
62.5013,32
62.5089,104.6
62.5123,69.8
62.5165,131.2
62.523,27.9
62.5277,31
62.5339,52.2
62.5344,146.8
62.5351,30.3
62.5367,34.2
62.5412,24.1
62.5426,45.8
62.5709,284.5
62.5753,38.8
62.5761,26.4
62.5773,400.8
62.5786,590.2
62.5807,43
62.6111,93.7
62.6333,351
62.6412,211.2
62.6478,28
62.6582,628.3
62.6688,24.8
62.7018,36.5
62.7199,27.6
62.7418,17.4
62.7504,333.5
62.7932,25.1
62.7956,255.1
62.7977,88.2
62.8011,103
62.8076,29.4
62.826,38
62.8328,42.9
62.841,21.3
62.8458,29.8
62.8624,113.3
62.8632,36.8
62.9104,29.9
62.9231,46.1
62.9262,33.8
62.9284,28.4
62.967,32.4
62.979,38.7
63.0044,35
63.0082,40
63.0428,34
63.0487,87.9
63.0975,26.8
63.1028,22.5
63.1115,104.5
63.1276,91.2
63.1439,87.1
63.1577,53.5
63.1688,53.6
63.1974,340
63.2368,26.1
63.2425,81.8
63.2503,33.1
63.266,446.1
63.269,28
63.2742,122.7
63.2782,37.8
63.2796,30.2
63.2909,196.6
63.2924,51.2
63.3084,236.6
63.3188,50.8
63.3207,80.9
63.3474,41.4
63.3485,56.7
63.3538,225.5
63.3684,41.9
63.3839,38.8
63.3911,31.6
63.3999,49.3
63.4154,49.4
63.4175,70.7
63.4341,27.6
63.4418,148.8
63.4556,364.5
63.4763,130.6
63.4944,135.4
63.5118,85.4
63.5229,799.1
63.5306,47
63.5385,27.7
63.5835,257.7
63.5933,21.6
63.595,43.3
63.6217,61.9
63.6296,73.1
63.6343,20.9
63.6414,38.7
63.6452,29.8
63.648,548.1
63.6494,26.1
63.6612,56.4
63.676,28.5
63.7054,40.1
63.7061,134.8
63.712,30.1
63.7137,51.1
63.7171,103.6
63.7406,27.1
63.7427,31.3
63.7762,560.2
63.7857,340.4
63.7971,588
63.8006,70.7
63.8053,61.4
63.8163,63.5
63.8318,36.2
63.8497,66.3
63.8563,39.7
63.862,47.7
63.8708,26.1
63.8944,30
63.9018,119.6
63.9068,38.9
63.9149,191.4
63.9224,149.9
63.9622,54.7
63.9702,108.4
